system-html-link,System,Url,PIA or SORN,SORN ID,Categories of Records,Purpose,Retention
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,"Full name, Personal home or mobile phone, Personal email addresses, U.S. citizenship status, U.S. armed forces veteran status, Current employer, Optional links to social networking profiles, Resume/CV, Social Security Number, Grade, Work phone Number, Total Income, Number of dependent children, Number of children on whose behalf the parent is applying for a subsidy, Information on child care providers used, including name, address, provider license number and State where issued, tuition cost, and provider tax identification number, Copies of IRS Forms 1040 and 1040A for verification purposes., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,","For the functionality and use of specific minor applications within GSA's implementation of salesforce.com. Information may be collected to meet the business requirements of the application, site, group or instance. The new system will allow users to utilize the Salesforce application environment used by GSA, and to establish and verify GSA employees' and other agency employees' eligibility for child care subsidies in order for GSA and other agencies to provide monetary assistance to their employees","Records are retained and disposed of according to GSA records maintenance and disposition schedules, GSA Records Maintenance and Disposition System (CIO P 1820.1), GSA 1820.2ADM, and requirements of the National Archives and Records Administration."
<a href='https://www.federalregister.gov/documents/1996/11/26/96-30071/privacy-act-of-1974-system-of-records'>Employee-related files<</a>,Employee-related files<,https://www.federalregister.gov/documents/1996/11/26/96-30071/privacy-act-of-1974-system-of-records,SORN,GSA/Agency-1,"The system records contain the individual's name, birth date, home and emergency addresses and telephone numbers, personnel actions, professional registration, qualifications, training, employment history, awards, counseling, reprimands, grievances, appeals, leave, pay attendance, work assignments, performance ratings, injuries, permit and pass applications, unpaid debt complaints, including nonpayment of child support, travel, outside employment, congressional employee relief bills, and telephone call details. The system does not include official personnel files covered by OPM/GOVT-1., , , , , , , , , , , , , , , , , , , , , ,",The purpose of maintaining telephone call- detail records is to learn whether a Federal employee has placed  unauthorized long-distance telephone calls. Disclosing information to  the Federal Parent Locator Service is done to facilitate establishing  and enforcing child support from a delinquent parent. The procedures  used would require routinely matching Federal personnel records with  State records to learn if there are any Federal employees who are  delinquent in meeting child-support payments.,"Record disposal is controlled by the handbook, GSA Records  Maintenance and Disposition System, OAD P 1820.2A. The records are  reviewed and updated yearly, and irrelevant documents are destroyed.  Once originals and copies are purged from the official personnel  folder, no other paper copies are kept. When the employee transfers or  separates from the agency, records are promptly sent to the office that  is to maintain the official personnel folder. The records are screened  to ensure that nothing is missing. Personnel history files in the PIRS  computer data base are written off to tape every 2 years for indefinite  storage."
<a href='https://www.federalregister.gov/documents/2014/12/19/2014-29719/privacy-act-of-1974-notice-of-updated-systems-of-records'>E-PACS</a>,E-PACS,https://www.federalregister.gov/documents/2014/12/19/2014-29719/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/OMA-1,"Photo, Public Key Infrastructure (PKI) Certificate—(X509), Card Authentication Key (CAK) Certificate, Full Name, Person Classification, Badge Expiration Date, Card State, User Principal Name (UPN), Federal Agency Smart Card Number (FASC-N), and Globally Unique Identifier (GUID)., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2009/02/04/E9-2326/privacy-act-of-1974-notice-of-updated-systems-of-records'>Investigation Case Files.</a>,Investigation Case Files.,https://www.federalregister.gov/documents/2009/02/04/E9-2326/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/ADM-24,"Investigative files containing personal information, date, and place of birth, experience, and investigative material that is used as a basis for taking civil, criminal, and administrative actions., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2008/04/25/E8-8891/privacy-act-of-1974-notice-of-updated-systems-of-records'>Internal Evaluation Case Files.</a>,Internal Evaluation Case Files.,https://www.federalregister.gov/documents/2008/04/25/E8-8891/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/ADM-25,"Investigative files containing information such as name, experience, and investigative material that is used as a basis for taking civil, criminal, and administrative actions., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2011/09/14/2011-23467/privacy-act-of-1974-notice-of-new-system-of-records'>Office of Inspector General Counsel Files</a>,Office of Inspector General Counsel Files,https://www.federalregister.gov/documents/2011/09/14/2011-23467/privacy-act-of-1974-notice-of-new-system-of-records,SORN,GSA/ADM-26,"Name, addresses, phone numbers, e-mail address, birth date, financial information, medical records, or employment records., Case history files, copies of applicable laws, working papers of attorneys, testimony of witnesses, correspondence, accident reports, pleadings, affidavits, litigation reports, financial data and other records, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2008/04/25/E8-8924/privacy-act-of-1974-notice-of-updated-systems-of-records'>Child Care Subsidy.</a>,Child Care Subsidy.,https://www.federalregister.gov/documents/2008/04/25/E8-8924/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/Childcare-1,"Application forms for child care subsidy containing personal information, Social Security Number, grade, home and work numbers, addresses, telephone numbers, total income, number of dependent children, and number of children on whose behalf the parent is applying for a subsidy; information on child care providers used, including name, address, provider license number and State where issued, tuition cost, and provider tax identification number; and copies of IRS Forms 1040 and 1040A for verification purposes., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",To establish and verify GSA employees' eligibility for child care subsidies in order for GSA to provide monetary assistance to its employees.,"Disposition of records is according to the National Archives and Records Administration (NARA) guidelines, as set forth in the handbook, GSA Records Maintenance and Disposition System (OAD P 1820.2) and authorized GSA records schedules."
<a href='https://www.federalregister.gov/documents/2014/08/12/2014-19079/privacy-act-of-1974-notice-of-updated-systems-of-records'>GSA Credential and Identity Management System (GCIMS).</a>,GSA Credential and Identity Management System (GCIMS).,https://www.federalregister.gov/documents/2014/08/12/2014-19079/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/CIO-1,"Employee/contractor/other worker full name, Social Security Number (SSN), Date of birth, Place of birth, Height, Weight, Hair color, Eye color, Sex, Citizenship, Start Printed Page 47140, Non-US citizens only:, Port of entry city and state, Date of entry, Less than 3-year US resident (yes or no), , Occupation, Summary report of investigation, Investigation results and date, File attachments containing PII, Security Specialist Notes, Investigation History Data, Level of security clearance, Date of issuance of security clearance, Facial Image, Fingerprints, Organization/office of assignment, Region, Company name, Telephone number, ID card issuance and expiration dates, ID card number, Emergency responder designation, Home address and work location, Emergency contact information, Physical and logical access, Contractors only:, Contract company (also referred as vendor), Vendor Point of Contact (POC), Whether contract company is the prime or a subcontractor, Name of prime if company is subcontractor, Task order number, delivery order, or contract base number, Contract start and end date, Contract option years (yes or no), Names of previous companies on GSA contracts, ,",,
<a href='https://www.federalregister.gov/documents/2011/08/10/2011-20271/privacy-act-of-1974-notice-of-new-system-of-records'>Enterprise Server Services (ESS)</a>,Enterprise Server Services (ESS),https://www.federalregister.gov/documents/2011/08/10/2011-20271/privacy-act-of-1974-notice-of-new-system-of-records,SORN,GSA/CIO-2,"Employee/contractor/other worker's full name, Organization/office of assignment, Company/agency name, Work Address, GSA Assigned work telephone number, Personal home or mobile phone, Personal e-mail addresses, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2014/08/12/2014-19071/privacy-act-of-1974-notice-of-an-updated-system-of-records'>Enterprise Cloud Services</a>,Enterprise Cloud Services,https://www.federalregister.gov/documents/2014/08/12/2014-19071/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CIO-3,"above/employee/contractor/other worker's full name, Organization/office of assignment, Company/agency name, Work address, Work telephone number, Social Security Number, Personal physical home address, Personal home or mobile phone, Personal email addresses, Individual work related records, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",,
<a href='https://www.federalregister.gov/documents/2011/07/25/2011-18637/privacy-act-of-1974-notice-of-updated-systems-of-records'>Personal Property Sales Program</a>,Personal Property Sales Program,https://www.federalregister.gov/documents/2011/07/25/2011-18637/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/FSS-13,"names, phone numbers, addresses, Social Security Numbers, birth dates and credit card numbers or other banking information, payment was received, the form of the payment, notices of default, and contract claim information",,
<a href='https://www.federalregister.gov/documents/2009/06/03/E9-12951/privacy-act-of-1974-notice-of-updated-systems-of-records'>Contracted Travel Services Program.</a>,Contracted Travel Services Program.,https://www.federalregister.gov/documents/2009/06/03/E9-12951/privacy-act-of-1974-notice-of-updated-systems-of-records,SORN,GSA/GOVT-4,"Full name of individual which matches the name on the form of ID used for travel; Social Security Number; employee identification number; home and office telephones; home address; home and office e-mail addresses; emergency contact name and telephone number; agency name, address, and telephone number; air travel preference; rental car identification number and car preference; hotel preference; current passport and/or visa number(s); credit card numbers and related information; bank account information needed for electronic funds transfer; frequent traveler account information (e.g., frequent flyer account numbers); date of birth; gender; redress number (number DHA assigns to passenger to promote resolution with previous watch list alerts); known traveler number (passenger number DHS utilizes to facilitate passenger clearance); trip information (e.g., destinations, reservation information); travel authorization information; travel claim information; monthly reports from travel agent(s) showing charges to individuals, balances, and other types of account analyses; and other official travel related information.",,
<a href='https://www.gsa.gov/cdnstatic/PIA_GSA_PBS-7_The_Museum_System.pdf'>The Museum System (TMS)</a>,The Museum System (TMS),https://www.gsa.gov/cdnstatic/PIA_GSA_PBS-7_The_Museum_System.pdf,PIA,GSA/PBS-7,"gender, race, birth date, age, geographic indicators, personal e-mail address, home address,, home phone number, and similar personal information","The system is used by GSA to track all details pertaining to the full life cycle of Art in Architecture projects and manage the National Artist Registry in support of the Art in Architecture program. The system also supports the Fine Arts Program in managing the Fine Arts collection. The GSA dataset includes descriptive information on artworks and detailed information on artists and other project related people. Information regarding people (known as ""constituents"" can in some cases contain contact information for government employees. TMS maintains names and other unique identifiers in conjunction with other data elements such as gender, race, birth date, age, geographic indicators, personal e-mail address, home address, home phone number, and similar personal information.","Majority of data will be kept indefinitely, inactive Artist’s Registry records may be deleted in accordance with GSA regulations. Records are maintained and disposed according to GSA Policy 1820.1 CIO (Records Maintenance and Disposition System)."
