System Name,PII
Ancillary Financial Application (AFA) system ,"TIN, person’s name, SSN, home address, home phone, and e-mail address."
Beta.SAM.gov,"In the Entity Management functional area, SAM contains records that capture information users voluntarily provide about their entity as part of the process to register to do business with the Federal Government, including the entity legal business name, entity email address, entity telephone number, entity Taxpayer Identification Number (TIN), and entity address. In the case of a sole proprietor, tax laws allow them to use their Social Security Number (SSN) as their TIN if they do not have a separate Employer Identification Number (EIN). The TIN (whether it be an EIN or an SSN) is not publicly available data. In the exclusion portion of the Performance Information functional area, SAM contains records entered by Federal agency suspension and debarment officials, some of which may be records on individuals."
"Carlson Wagonlit Government Travel, Inc., d.b.a. CWTSatoTravel","To use E2 Solutions, a traveler must enter unique identifying information such as user id and password. A user profile is established for each traveler which contains personal information, including organization address, telephone number, travel preferences, frequent flyer and rental car club account numbers, passport information, emergency contract name, alternative address and telephone number, personal credit card number (official travel charge care account at a minimum), date of birth, gender, redress number, known traveler number, and other information as required by the agency’s Travel Authorization and Voucher System , Travel Management Center (TMC), and transportation providers for making reservations and issuing tickets. Information gathered includes Traveler Profile data, Name, SSN (if applicable by agency requirements), UserID, home address, home and office email, home and office telephone numbers, current passport and/or visa number(s), credit card numbers and related information; bank account information needed for electronic funds transfer; frequent traveler account information; travel claim information; destinations; date of birth; gender; redress number; known traveler number; and individual charges and balances. In addition, other passport information (i.e. issuing country, expiration date), and emergency contact information are included. Additional information may be entered at the traveler’s discretion for enhanced service, such as air, hotel, and car rental preferences, and frequent traveler or club membership numbers. When travel arrangements are made, the following information is entered: travel dates and times, departure and arrival cities and airports or terminals, selected airline flight or train tickets Privacy Impact Assessment CWTSatoTravel, E2 Solutions Page 6 Version 01/11//2018 reserved, hotel reservations, and car rentals reserved. Any special requests or accommodations required are also entered. Federal agency accounting systems will interface with the E2 Solutions component for proper recording of obligations when travel authorizations are approved, and for recording expenses when voucher payments are made. (Data will be passed between systems. The agency accounting systems will not have direct access to E2 Solutions databases.) The Travel Management Center (TMC) will have access to the profile and reservation data input by the traveler. This access is necessary for the TMC to complete reservation and ticketing actions (e.g. in order to email the traveler her itinerary). The TMC does not have access to E2 Solutions.. The on-line booking engine directs reservations to the TMC for fulfillment, i.e., ticketing for transportation and confirmation of hotel and/or car reservations. The reservation systems, or Global Distribution Systems (GDS), provide the link between the on-line booking engine and the TMC. GDSX, the interface between the GDS and E2 Solutions provides updates to the traveler’s reservations if modifications are made. This is an interface which data securely traverses between E2 Solutions and the GDS to maintain the integrity of the travelers’ reservations."
Challenge.gov,"At a minimum, users submitting challenge solutions are required to provide an e-mail address, username and password, by their own designation. In addition, users may voluntarily elect to provide the following data elements to create a profile, though none are required for participation: ● First and last name ● Phone number ● City, state and country ● Website (e.g., school, company, Twitter or LinkedIN pages) ● Photo or image ● Biographical sketch of no more than 1,000 words ● Additional skills and interests from a preset selection ● Additional skills and images in a free form text box"
Child Care Subsidy,"The CCS application collects the following personal information that are stored on documents in the Document Management subsystem and as database fields in the Eligibility and Invoice Processing subsystem: ● Parent (the Member/Employee): SSN, Name, Work Address, Work phone, Work email, Home Address, Home phone, and Home e-mail. 11 Version 2.4: November 28, 2018 ● Spouse or Partner: Name, Address, Phone, Email, Employer Name, Spouse/Partner’s School Name ● Child(ren) enrolled: Name and Date of Birth ● Power of Attorney or Guardian (if different than Parent / Spouse): Name, Address, Phone, Email ● Childcare Providers: Provider: Name, Address, Taxpayer Identification Number, Phone, Email ● Historical documentation before July 2016 was collected and is stored in ImageNow (e.g. parents’ tax returns) - this is outside of the Salesforce app and is not connected. There are no active deletes happening currently. ● Legal Documents with attributes including but not limited to name (e.g. Marriage License, Name Change, POA), to whom it applies (e.g. Parent, Child, Guardian), effective date and expiration date where applicable. The Child Care Subsidy Program administrators determine the eligibility of the Member /Employee based on the data submitted. The Child Care Subsidy program does not receive information from another system."
ConcurGov,SAP Concur Travel (Travel) – reference GSA Master Contract Section C Attachment 14 Yes Traveler Information ConcurGov system access; booking travel/trips In place in accordance with the ETS2 contract Travel Authorization and Voucher (TAVS) (Expense) – reference GSA Master Contract Section C Attachment 14 Yes Traveler expense Information Travel expense payment and reimbursement In place in accordance with the ETS2 contract
Controlled Document Tracker (CDT),"System information includes correspondences and documents and, in addition to work contact information, may also include the following specific types of private data: ● Personal full name; ● Personal physical address; ● Personal phone number; ● Personal email address; 9 Version 2.1: July 02, 2018 ● Employer information and address, for example, for Federal employees or contractors regarding facility or employment concerns; ● Dun & Bradstreet and/or Tax ID numbers; and ● Names and email addresses (personal or work) may be stored in searchable data fields, but other data would be contained in documents attached to system records"
Design research,"Administrative data may contain PII. Administrative data is data collected and used during the recruiting and administration of a design research study. Administrative data includes: ● Respondent data is data such as voluntarily submitted name, contact information (for example, telephone number or email address), reason for visiting the digital product or service, profession, and goals for use. When necessary, this may also include demographic information such as age range, education level, language, occupation, etc. ● Respondent metadata is metadata collected at time of response, such as timestamp, operating system, and user-agent (“browser”). ● Administration trace data is data used to facilitate the administration of design research. For example, GSA agents may record having contacted a respondent for an interview or having received a participant’s signature on an informed consent form."
Electronic Document Managing Software Platform (EDMS),"Resumes include name, personal e-mail address, home address, home phone number, and other personal information. Suitability adjudication letters include name and adjudication decision. Employee records include names and may also include gender, race, birth date, age, home e-mail address, home address, home phone number, Social Security Number, employment history, and similar personal information."
Employee Relocation Resource Center,"Full Name ● physical address; ● Phone number; ● Email address; 11 Version 2.4: November 28, 2018 ● Agency Name ● Vendor ● GSA Program - Types of Services needed/requested ● Documents with Case Information Documents related to case can be anything that is needed to resolve their queries such as agencies may send a formal letter of appeal from a transferring employee, challenging the appraised value. Oftentimes the appeals are very personal regarding the employee's living situation or financial situation. The information collected by GSA with regards to Agency employees / contractor is bare minimum and is required for GSA to assist the Agency employees in providing requested services. All privacy controls are in place in accordance with GSA’s Privacy Policies and Procedures."
Enterprise Application Services (EAS),Not included.  Notes in comment box.
Enterprise Infrastructure Operations (EIO) System,"Name • Contact Information (e.g., telephone number/email address) • Other Information (including mobile device number)"
Enterprise Mobile Devices,"Users may store PII data mobile devices that are supported by the EMD. Such information may include, but is not limited to, names, email addresses, phone numbers, mailing addresses, photos, credit card information for the purpose of in-app purchases and other financial information. Smartphones and tablets can store any user input including name, address, phone number, credit card information etc. it is up to the user to be cautious with their Government Furnished Equipment (GFE) and use it as intended."
Everbridge Mass Notification,Names are collected in Everbridge and individuals opt-in to provide any emergency contact information that they would like to keep on file.
Exterro e-Discovery Software,"The application collects OGC personnel electronic records, emails and attachments which may contain correspondence from outside vendors and/or contractors associated with the pending administrative dispute/manner or litigation. This could include, but is not limited to: name, date of birth, mailing address, telephone number, social security number, e-mail address, zip code, facsimile number, mother’s maiden name, medical record number, bank account number, health plan beneficiary number, any other account numbers, certificate/license number, vehicle identifier including license plate, marriage record, civil or criminal history information, medical records, device identifiers and serial numbers, education record, biometric identifiers, photographic facial image, or any other unique identifying number or characteristic."
FAR Data Collection Pilot,"a. The system will capture weekly certified payroll data for contractors that are required to submit their payroll’s under the Davis Bacon Act. b. The system will maintain the names of the contractors, their company information, email and their wages. The system will also store the name and email address of contracting officers.      b. Contractor: Last Name, First Name, Position in Company, Phone,
Email,
Contractor Employee: Last Name, First Name, ID #, Work
classification, Hours Worked by day/date, Total hours, Rate
Fringes (cash), Fringes (employer-paid), Federal projects Gross
earnings.
Contracting Officer: Name, position, phone, email"
Federal Procurement Data System- New Generation (-NG),"Contractor Taxpayer Identification Number (TIN), Social Security Number (SSN), plus Contractor Names and Addresses (for individuals contracting with the government as a business), Place of Performance, Product or service provided and Socioeconomic Information about the Contractor are maintained as are information for government and public account holders."
Fleet Management System (FMS),"The following PII information is transmitted for both the driver of the 3rd party vehicle and the owner (if different from the driver): -- Driver's First Name, Middle Initial, Last Name -- Home Address (Street Number, City, State, Zip) -- Home Phone Number -- Name of Insurance Company -- Address of Insurance Company (Street Number, City, State, Zip) -- Insurance Company Point of Contact -- Insurance Company Phone Number -- Insurance Policy Number of Driver or Owner"
GRB - Government Retirement Benefits,"PII Collected shown below. All PII collected is for the purpose of applying for retirement at GSA. o Employee First, Middle Initial, Last Name o Employee SSN ● SSNs are generally the common element linking information among agencies, OPM, Shared Service Providers (human resources, payroll, and training), and benefit providers, some of which are legally required to use SSN.1 o Employee date of birth (DoB) o Employee Address o Employee Phone o Employee Email The PII collected can be seen by GSA HR Specialists and HR Managers who review employee retirement cases."
GSA Credential and Identity Management System (GCIMS),"The system contains information needed for issuing and maintaining HSPD-12 credentials with the MSO and also access privilege information. Records may include:  Employee/contractor/other worker full name  Social Security Number (SSN)  Date of birth  Place of birth  Height  Weight  Hair color  Eye color  Sex  Citizenship  Non-US citizens only: o Port of entry city and state o Date of entry o Less than 3-year US resident (yes or no)  Occupation  Summary report of investigation  Investigation results and date  File attachments containing PII  Security Specialist Notes  Investigation History Data  Level of security clearance  Date of issuance of security clearance 13 Version 2.1: July 02, 2018  Facial Image (recorded at enrollment station during MSO registration)  Fingerprints (recorded at enrollment station during MSO registration)  Organization/office of assignment  Region  Telephone number  ID card issuance and expiration dates  ID card number  Emergency responder designation  Home address and work location  Emergency contact information  Physical and logical access  Contractors only: o Contract company (also referred as vendor) o Vendor Point of Contact (POC) o Whether contract company is the prime or a subcontractor o Name of prime if company is subcontractor o Task order number, delivery order, or contract base number o Contract start and end date o Contract option years (yes or no) o Names of previous companies on GSA contracts Full 9-digit SSNs are collected because it is required by OPM FSC to perform its background investigation activities within credit bureau and criminal database searches and uniquely identifies individuals in their system of record."
GSA Enterprise Physical Access Control System (E-PACS),"Currently the system collects a full name, email and a contact phone number in addition to the public x509 certificates and the JPEG from the PIV is stored in the system. Only public elements from the PIV are stored in the system. The information is collected from GSA employees, Contractors, tenants, interns, and anyone with a HSPD-12 PIV compliant card meeting the requirements of FIPS-201 that require regular access to GSA facilities. The information is stored and maintained by GSA and is not shared externally. When an individual enrolls, the PACS Service software extracts the data from the PIV Credential, it checks the certificate path and the revocation status. It adds the cardholder and credential information to the E-PACS. The PACS Service checks stored X.509 certificate status via the Federal Bridge. It then updates the E-PACS with new records from GSA Authoritative sources and status updates from the Federal Bridge or GSA sources. The E-PACS is the central data repository for cardholders, credential, and access privilege records. The revocation status that is received is used to determine the validity of the user and suspend the credential if necessary. E-PACS utilizes the “least privilege” method, limiting administrative access and further limiting access to only the data needed for a person to perform his or her job within the system."
