System,Categories of Records
GSA's Customer Engagement Organization,<span class='usa-tag'>Full name</span> <span class='usa-tag'> Personal home or mobile phone</span> <span class='usa-tag'> Personal email addresses</span> <span class='usa-tag'> U.S. citizenship status</span> <span class='usa-tag'> U.S. armed forces veteran status</span> <span class='usa-tag'> Current employer</span> <span class='usa-tag'> Optional links to social networking profiles</span> <span class='usa-tag'> Resume/CV</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag'> Grade</span> <span class='usa-tag'> Work phone Number</span> <span class='usa-tag'> Total Income</span> <span class='usa-tag'> Number of dependent children</span> <span class='usa-tag'> Number of children</span> <span class='usa-tag'> Information on child care providers used</span> <span class='usa-tag'> including name</span> <span class='usa-tag'> address</span> <span class='usa-tag'> provider license number and State where issued</span> <span class='usa-tag'> tuition cost</span> <span class='usa-tag'> and provider tax identification number</span> <span class='usa-tag red'> Copies of IRS Forms 1040 and 1040A</span>
Employee-related files,<span class='usa-tag'>The system records contain the individual's name</span> <span class='usa-tag'> birth date</span> <span class='usa-tag'> home and emergency addresses and telephone numbers</span> <span class='usa-tag'> personnel actions</span> <span class='usa-tag'> professional registration</span> <span class='usa-tag'> qualifications</span> <span class='usa-tag'> training</span> <span class='usa-tag'> employment history</span> <span class='usa-tag'> awards</span> <span class='usa-tag'> counseling</span> <span class='usa-tag'> reprimands</span> <span class='usa-tag'> grievances</span> <span class='usa-tag'> appeals</span> <span class='usa-tag'> leave</span> <span class='usa-tag'> pay attendance</span> <span class='usa-tag'> work assignments</span> <span class='usa-tag'> performance ratings</span> <span class='usa-tag'> injuries</span> <span class='usa-tag'> permit and pass applications</span> <span class='usa-tag'> unpaid debt complaints</span> <span class='usa-tag'> including nonpayment of child support</span> <span class='usa-tag'> travel</span> <span class='usa-tag'> outside employment</span> <span class='usa-tag'> congressional employee relief bills</span> <span class='usa-tag'> and telephone call details.</span>
E-PACS,<span class='usa-tag'>Photo</span> <span class='usa-tag red'> Public Key Infrastructure (PKI) Certificate—(X509)</span> <span class='usa-tag red'> Card Authentication Key (CAK) Certificate</span> <span class='usa-tag'> Full Name</span> <span class='usa-tag'> Person Classification</span> <span class='usa-tag'> Badge Expiration Date</span> <span class='usa-tag'> Card State</span> <span class='usa-tag'> User Principal Name (UPN)</span> <span class='usa-tag'> Federal Agency Smart Card Number (FASC-N)</span> <span class='usa-tag'> and Globally Unique Identifier (GUID).</span>
Investigation Case Files.,<span class='usa-tag'>Investigative files containing personal information</span> <span class='usa-tag'> date</span> <span class='usa-tag'> and place of birth</span> <span class='usa-tag'> experience</span> <span class='usa-tag'> and investigative material</span> <span class='usa-tag'> criminal</span> <span class='usa-tag'> and administrative actions.</span>
Internal Evaluation Case Files.,<span class='usa-tag'>Investigative files containing information such as name</span> <span class='usa-tag'> experience</span> <span class='usa-tag'> and investigative material that is used as a basis for taking civil</span> <span class='usa-tag'> criminal</span> <span class='usa-tag'> and administrative actions.</span>
Office of Inspector General Counsel Files,<span class='usa-tag'>Name</span> <span class='usa-tag'> addresses</span> <span class='usa-tag'> phone numbers</span> <span class='usa-tag'> e-mail address</span> <span class='usa-tag'> birth date</span> <span class='usa-tag'> financial information</span> <span class='usa-tag red'> medical records</span> <span class='usa-tag'> or employment records.</span> <span class='usa-tag'> Case history files</span> <span class='usa-tag'> copies of applicable laws</span> <span class='usa-tag'> working papers of attorneys</span> <span class='usa-tag'> testimony of witnesses</span> <span class='usa-tag'> correspondence</span> <span class='usa-tag'> accident reports</span> <span class='usa-tag'> pleadings</span> <span class='usa-tag'> affidavits</span> <span class='usa-tag'> litigation reports</span> <span class='usa-tag'> financial data and other records</span>
Child Care Subsidy.,<span class='usa-tag'>Application forms for child care subsidy</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag'> grade</span> <span class='usa-tag'> home and work numbers</span> <span class='usa-tag'> addresses</span> <span class='usa-tag'> telephone numbers</span> <span class='usa-tag'> total income</span> <span class='usa-tag'> number of dependent children</span> <span class='usa-tag'> and number of children</span> <span class='usa-tag'>information on child care providers used</span> <span class='usa-tag'> including name</span> <span class='usa-tag'> address</span> <span class='usa-tag'> provider license number and State where issued</span> <span class='usa-tag'> tuition cost</span> <span class='usa-tag'> and provider tax identification number</span> <span class='usa-tag red'>and copies of IRS Forms 1040 and 1040A</span>
GSA Credential and Identity Management System (GCIMS).,<span class='usa-tag'>Employee/contractor/other worker full name</span> <span class='usa-tag red'> Social Security Number (SSN)</span> <span class='usa-tag'> Date of birth</span> <span class='usa-tag'> Place of birth</span> <span class='usa-tag'> Height</span> <span class='usa-tag'> Weight</span> <span class='usa-tag'> Hair color</span> <span class='usa-tag'> Eye color</span> <span class='usa-tag'> Sex</span> <span class='usa-tag'> Citizenship</span> <span class='usa-tag'> Start Printed Page 47140</span> <span class='usa-tag'> Non-US citizens only:</span> <span class='usa-tag'> Port of entry city and state</span> <span class='usa-tag'> Date of entry</span> <span class='usa-tag'> Less than 3-year US resident (yes or no)</span> <span class='usa-tag'> Occupation</span> <span class='usa-tag'> Summary report of investigation</span> <span class='usa-tag'> Investigation results and date</span> <span class='usa-tag'> File attachments containing PII</span> <span class='usa-tag'> Security Specialist Notes</span> <span class='usa-tag'> Investigation History Data</span> <span class='usa-tag'> Level of security clearance</span> <span class='usa-tag'> Date of issuance of security
Enterprise Server Services (ESS),<span class='usa-tag'>Employee/contractor/other worker's full name</span> <span class='usa-tag'> Organization/office of assignment</span> <span class='usa-tag'> Company/agency name</span> <span class='usa-tag'> Work Address</span> <span class='usa-tag'> GSA Assigned work telephone number</span> <span class='usa-tag'> Personal home or mobile phone</span> <span class='usa-tag'> Personal e-mail addresses</span>
Enterprise Cloud Services,<span class='usa-tag'>above/employee/contractor/other worker's full name</span> <span class='usa-tag'> Organization/office of assignment</span> <span class='usa-tag'> Company/agency name</span> <span class='usa-tag'> Work address</span> <span class='usa-tag'> Work telephone number</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag'> Personal physical home address</span> <span class='usa-tag'> Personal home or mobile phone</span> <span class='usa-tag'> Personal email addresses</span> <span class='usa-tag'> Individual work related records</span>
